year_month,tile_1,tile_2,tile_3,tile_4,tile_5,tile_6,tile_7,tile_8,tile_9,tile_10,tile_11,tile_12,tile_13,tile_14,tile_15,tile_16,tile_17,tile_18,tile_19,tile_20,tile_21,tile_22,tile_23,tile_24,tile_25
2025-01-01,Low,Low,High,Low,Low,Low,Low,Low,Low,Low,Low,Medium,High,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
2025-02-01,Low,Low,Low,Low,Low,High,Low,Low,Low,Low,Medium,Low,Medium,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
2025-03-01,Low,Low,Low,Low,Low,High,Low,Low,Low,Low,Medium,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
2025-04-01,Low,Low,Low,Low,Low,High,High,Low,Low,Low,High,Medium,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
2025-05-01,Low,Low,Low,Low,Low,High,High,Low,Medium,Low,High,High,Low,Low,Low,Medium,Low,Low,Low,Low,Medium,Low,Low,Low,Low
2025-06-01,Low,Low,Low,Low,Low,High,High,Low,High,Medium,High,High,Low,Low,Low,Medium,Medium,Low,Low,Low,High,Low,Low,Low,Low
2025-07-01,Low,Low,Low,Low,Low,High,High,Low,High,High,High,High,Low,Low,Low,High,High,Medium,Low,Low,High,Low,Low,Low,Low
2025-08-01,Low,Low,Low,Low,Low,Medium,High,Low,High,High,High,High,Medium,Low,High,High,High,High,Low,High,High,Low,Low,Low,Low
2025-09-01,Low,Low,Low,Low,Low,Low,High,High,High,High,High,High,High,Low,High,High,High,High,Low,High,Medium,Low,Low,Low,High
2025-10-01,Low,Low,Low,Low,Low,Low,Medium,High,Medium,Medium,Medium,High,High,Low,High,High,High,Low,Low,Medium,Low,Low,Low,Low,Low
2025-11-01,Low,Low,Low,Low,Low,Low,Medium,High,Low,Low,Low,Medium,Low,Low,Medium,Low,Medium,Low,Low,Low,Low,Low,Low,Low,Low
2025-12-01,Low,Low,Low,Low,Low,Medium,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
